ID,# vel,ra_el032.dat,dec_el032.dat,flux1_el032.dat,ra_em064c.dat,dec_em064c.dat,flux1_em064c.dat,ra_em064d.dat,dec_em064d.dat,flux1_em064d.dat,ra_es066.dat,dec_es066.dat,flux1_es066.dat,ra_ea063.dat,dec_ea063.dat,flux1_ea063.dat,ra_diff_2_1,ra_diff_3_1,ra_diff_4_1,ra_diff_5_1,dec_diff_2_1,dec_diff_3_1,dec_diff_4_1,dec_diff_5_1,Lenght_2_1,Lenght_3_1,Lenght_4_1,Lenght_5_1
0,-4.8567,0.485656,0.002,0.401,0.185659,-0.098,0.206,0.166413,0.109,1.062,0.267167,0.807,0.158,0.124527,0.172,0.091,-0.299997,-0.319243,-0.218489,-0.361129,-0.1,0.107,0.805,0.17,,,,
1,-4.9445,0,0,0.283,0,0,0.292,0,0,1.54,0,0,0.156,0,0,0.121,0,0,0,0,0,0,0,0,,,,
,-9.8012,0.485656,0.002,,0.185659,-0.098,,0.166413,0.109,,0.267167,0.807,,0.124527,0.172,,-0.299997,-0.319243,-0.218489,-0.361129,-0.1,0.107,0.805,0.17,0.316224919968367,0.336697331514522,0.834123757676881,0.39914177260843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-5.8226,-151.999,108.673,4.802,-152.612,106.457,2.53,-153.328,105.108,1.965,-154.33,105.173,8.044,-155.573,101.092,2.413,-0.613000000000028,-1.32900000000001,-2.33100000000002,-3.57400000000001,-2.21599999999999,-3.565,-3.5,-7.581,,,,
3,-5.9104,-152.505,108.37,10.984,-153.184,106.568,8.904,-153.902,105.337,6.068,-154.782,105.325,16.872,-156.529,101.464,4.816,-0.679000000000002,-1.39699999999999,-2.27700000000002,-4.024,-1.80200000000001,-3.03299999999999,-3.045,-6.90600000000001,,,s,
4,-5.9982,-153.189,108.302,18.171,-153.549,106.535,22.013,-154.407,105.394,12.953,-155.352,105.321,24.406,-157.515,101.663,7.29,-0.360000000000042,-1.21800000000002,-2.16300000000001,-4.32599999999999,-1.76700000000001,-2.908,-2.98100000000001,-6.63900000000001,,,,
5,-6.086,-153.331,108.181,24.692,-154.007,106.6,37.8,-154.947,105.273,20.677,-155.894,105.145,26.424,-158.221,101.704,8.19,-0.676000000000016,-1.61600000000001,-2.56300000000004,-4.89000000000002,-1.58100000000002,-2.908,-3.036,-6.477,,,,
6,-6.1738,-153.752,108.019,19.925,-154.511,106.631,44.74,-155.439,105.107,23.935,-156.344,104.938,21.239,-158.629,101.631,6.646,-0.759000000000015,-1.68699999999998,-2.59199999999998,-4.87699999999998,-1.38799999999999,-2.91200000000001,-3.081,-6.38800000000001,,,,
7,-6.2616,-154.354,107.749,11.186,-154.945,106.518,36.118,-155.883,104.961,20.577,-156.75,104.712,12.707,-158.98,101.411,4.406,-0.59099999999998,-1.52899999999997,-2.39599999999999,-4.62599999999998,-1.23100000000001,-2.78800000000001,-3.03700000000001,-6.33800000000001,,,,
8,-6.3494,-154.988,107.567,5.225,-155.597,106.364,21.857,-156.484,104.751,14.181,-157.33,104.577,5.684,-159.592,101.212,2.662,-0.609000000000009,-1.49600000000004,-2.34200000000001,-4.60400000000001,-1.20299999999997,-2.816,-2.98999999999998,-6.35499999999998,,,,
9,-6.4372,-156.242,107.461,1.919,-156.483,106.387,10.846,-157.299,104.594,7.474,-158.479,104.714,2.246,-160.7,101.29,1.499,-0.241000000000014,-1.05700000000002,-2.23700000000002,-4.458,-1.074,-2.86700000000002,-2.74700000000001,-6.17099999999999,,,,
,-49.0392,-1230.36,864.322,,-1234.888,852.06,,-1241.689,840.525,,-1249.261,839.905,,-1265.739,811.467,,-4.52800000000011,-11.329,-18.9010000000001,-35.379,-12.262,-23.797,-24.417,-52.855,13.0713208207893,26.3560894292003,30.877786352004,63.6028668064577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-6.525,-90.2085,94.845,0.577,-94.2591,92.814,1.606,-94.7402,92.663,3.304,-94.1176,91.928,0.449,-94.4402,86.527,0.468,-4.05060000000002,-4.5317,-3.90910000000001,-4.23170000000002,-2.03100000000001,-2.182,-2.917,-8.31800000000001,,,,
11,-6.6128,-90.3568,94.793,0.595,-94.3791,93.459,1.966,-94.5217,93.486,4.208,-93.933,93.065,0.321,-96.5447,94.067,0.23,-4.02229999999999,-4.16489999999997,-3.57619999999999,-6.1879,-1.334,-1.30699999999999,-1.72800000000001,-0.726000000000013,,,,
12,-6.7006,-90.5799,94.807,0.345,-94.5059,93.949,1.591,-94.4572,93.895,3.415,-94.1164,93.287,0.169,-96.2662,94.182,0.132,-3.92599999999999,-3.87729999999999,-3.53649999999999,-5.68629999999999,-0.858000000000004,-0.912000000000006,-1.52,-0.625,,,,
